subgroup_id,type,CancerSites,year,Sex,age_gp,race_gp,count,population,crude_rate,crude_SE
32,Incidence,Kidney and Renal Pelvis,2013,Male,Age_over65,Other,458,874690,52.361,8.168
1,Incidence,Liver and Intrahepatic Bile Duct,2013,Female,Age_2044,Non-hispanic White,129,18100000,0.714,0.108
2,Incidence,Liver and Intrahepatic Bile Duct,2013,Male,Age_2044,Non-hispanic White,153,24600000,0.622,0.101
3,Incidence,Liver and Intrahepatic Bile Duct,2013,Female,Age_2044,Non-hispanic Black,19,1407370,1.35,0.31
4,Incidence,Liver and Intrahepatic Bile Duct,2013,Male,Age_2044,Non-hispanic Black,65,2444886,2.659,0.466
5,Incidence,Liver and Intrahepatic Bile Duct,2013,Female,Age_2044,Hispanic,21,2646931,0.793,0.219
6,Incidence,Liver and Intrahepatic Bile Duct,2013,Male,Age_2044,Hispanic,44,2567271,1.714,0.316
7,Incidence,Liver and Intrahepatic Bile Duct,2013,Female,Age_2044,Other,0,377180,0,0
8,Incidence,Liver and Intrahepatic Bile Duct,2013,Male,Age_2044,Other,66,2241853,2.944,0.663
9,Incidence,Liver and Intrahepatic Bile Duct,2013,Female,Age_4554,Non-hispanic White,457,14700000,3.102,0.203
10,Incidence,Liver and Intrahepatic Bile Duct,2013,Male,Age_4554,Non-hispanic White,1483,14500000,10.201,0.369
11,Incidence,Liver and Intrahepatic Bile Duct,2013,Female,Age_4554,Non-hispanic Black,148,2885488,5.129,0.594
12,Incidence,Liver and Intrahepatic Bile Duct,2013,Male,Age_4554,Non-hispanic Black,380,2549908,14.903,1.079
13,Incidence,Liver and Intrahepatic Bile Duct,2013,Female,Age_4554,Hispanic,136,2789996,4.875,0.609
14,Incidence,Liver and Intrahepatic Bile Duct,2013,Male,Age_4554,Hispanic,529,2793225,18.939,1.197
15,Incidence,Liver and Intrahepatic Bile Duct,2013,Female,Age_4554,Other,42,1258082,3.338,0.73
16,Incidence,Liver and Intrahepatic Bile Duct,2013,Male,Age_4554,Other,228,1195835,19.066,2.315
17,Incidence,Liver and Intrahepatic Bile Duct,2013,Female,Age_5564,Non-hispanic White,1326,14700000,9.044,0.353
18,Incidence,Liver and Intrahepatic Bile Duct,2013,Male,Age_5564,Non-hispanic White,5285,14000000,37.793,0.738
19,Incidence,Liver and Intrahepatic Bile Duct,2013,Female,Age_5564,Non-hispanic Black,458,2394848,19.124,1.27
20,Incidence,Liver and Intrahepatic Bile Duct,2013,Male,Age_5564,Non-hispanic Black,1638,2000803,81.867,2.906
21,Incidence,Liver and Intrahepatic Bile Duct,2013,Female,Age_5564,Hispanic,304,1856871,16.372,1.359
22,Incidence,Liver and Intrahepatic Bile Duct,2013,Male,Age_5564,Hispanic,1071,1665910,64.289,2.806
23,Incidence,Liver and Intrahepatic Bile Duct,2013,Female,Age_5564,Other,147,1111640,13.224,2.077
24,Incidence,Liver and Intrahepatic Bile Duct,2013,Male,Age_5564,Other,522,987955,52.836,4.847
25,Incidence,Liver and Intrahepatic Bile Duct,2013,Female,Age_over65,Non-hispanic White,3054,19500000,15.629,0.647
26,Incidence,Liver and Intrahepatic Bile Duct,2013,Male,Age_over65,Non-hispanic White,5945,15600000,38.192,1.122
