subgroup_id,type,CancerSite,year,Sex,age_gp,race_gp,count,population,crude_rate,crude_SE
11,Mortality,Kidney and Renal Pelvis,2015,Female,Age_4554,Hispanic,32,3213000,0.995953937,0.310409916
12,Mortality,Kidney and Renal Pelvis,2015,Female,Age_4554,Other,10,1529112,0.653974333,0.538098813
13,Mortality,Kidney and Renal Pelvis,2015,Male,Age_4554,Non-hispanic White,556,14096551,3.944227208,0.257993232
14,Mortality,Kidney and Renal Pelvis,2015,Male,Age_4554,Non-hispanic Black,119,2528856,4.7056851,0.610251409
15,Mortality,Kidney and Renal Pelvis,2015,Male,Age_4554,Hispanic,107,3272152,3.270019241,0.536818922
16,Mortality,Kidney and Renal Pelvis,2015,Male,Age_4554,Other,31,1352454,2.292129714,0.984292448
17,Mortality,Kidney and Renal Pelvis,2015,Female,Age_5564,Non-hispanic White,605,15111568,4.003555422,0.25288871
18,Mortality,Kidney and Renal Pelvis,2015,Female,Age_5564,Non-hispanic Black,104,2546832,4.083504526,0.547509251
19,Mortality,Kidney and Renal Pelvis,2015,Female,Age_5564,Hispanic,105,2198328,4.776357304,0.882088061
20,Mortality,Kidney and Renal Pelvis,2015,Female,Age_5564,Other,25,1272047,1.965336186,0.971609355
21,Mortality,Kidney and Renal Pelvis,2015,Male,Age_5564,Non-hispanic White,1671,14415002,11.59208996,0.450041591
22,Mortality,Kidney and Renal Pelvis,2015,Male,Age_5564,Non-hispanic Black,272,2137700,12.72395565,1.093602025
23,Mortality,Kidney and Renal Pelvis,2015,Male,Age_5564,Hispanic,209,2058899,10.15105646,1.344164281
24,Mortality,Kidney and Renal Pelvis,2015,Male,Age_5564,Other,76,1066033,7.129235211,1.921884749
25,Mortality,Kidney and Renal Pelvis,2015,Female,Age_over65,Non-hispanic White,3006,20639658,14.56419481,0.635842245
26,Mortality,Kidney and Renal Pelvis,2015,Female,Age_over65,Non-hispanic Black,346,2552333,13.55622483,1.754949632
27,Mortality,Kidney and Renal Pelvis,2015,Female,Age_over65,Hispanic,269,2132451,12.61459232,3.372508648
28,Mortality,Kidney and Renal Pelvis,2015,Female,Age_over65,Other,93,1339138,6.944765961,3.235926258
29,Mortality,Kidney and Renal Pelvis,2015,Male,Age_over65,Non-hispanic White,5175,16705087,30.97858754,1.051981719
30,Mortality,Kidney and Renal Pelvis,2015,Male,Age_over65,Non-hispanic Black,434,1714280,25.31675106,3.010405586
31,Mortality,Kidney and Renal Pelvis,2015,Male,Age_over65,Hispanic,448,1619259,27.66697607,4.242489042
32,Mortality,Kidney and Renal Pelvis,2015,Male,Age_over65,Other,154,1032086,14.92123718,5.585949586
1,Mortality,Larynx,2015,Female,Age_2044,Non-hispanic White,4,30523184,0.013104793,0
2,Mortality,Larynx,2015,Female,Age_2044,Non-hispanic Black,2,7676770,0.026052624,0.1
3,Mortality,Larynx,2015,Female,Age_2044,Hispanic,0,10518884,0,0
4,Mortality,Larynx,2015,Female,Age_2044,Other,0,4433343,0,0
5,Mortality,Larynx,2015,Male,Age_2044,Non-hispanic White,15,31292111,0.047935405,0.049298824
6,Mortality,Larynx,2015,Male,Age_2044,Non-hispanic Black,5,7275243,0.068726227,0.2
