diet_pattern,food_cat,food_group,outcome,impact_median_day,LB_day,UB_day,impact_median_year,LB_year,UB_year
DGAplus,Protein,pf_egg,CED (MJ),-0.587598619930722,-0.619777463755993,-0.557607984389376,-214.47349627471354,-226.21877427093744,-203.52691430212224
Med,Protein,pf_egg,CED (MJ),-0.245513757580933,-0.274852347829093,-0.213960255565239,-89.61252151704055,-100.32110695761895,-78.09549328131224
US,Protein,pf_egg,CED (MJ),-0.244726679263103,-0.275184902488341,-0.211905101389872,-89.32523793103259,-100.44248940824446,-77.34536200730328
Veg,Protein,pf_egg,CED (MJ),-0.319290946679682,-0.350811382795045,-0.289277683844058,-116.54119553808393,-128.04615472019142,-105.58635460308118
Vegan,Protein,pf_egg,CED (MJ),-0.961985686624842,-0.99531649429697,-0.929775728779462,-351.1247756180673,-363.29052041839407,-339.3681410045036
DGAplus,Protein,pf_ns,CED (MJ),0.0520832554983359,0.0479827666430499,0.0565509800375928,19.010388256892604,17.513709824713214,20.64110771372137
Med,Protein,pf_ns,CED (MJ),-0.00596218374319353,-0.0101536772672623,-0.00174420730867467,-2.1761970662656385,-3.7060922025507397,-0.6366356676662546
US,Protein,pf_ns,CED (MJ),-0.00601927870593878,-0.0100948933340075,-0.00176556378034739,-2.197036727667655,-3.6846360669127374,-0.6444307798267973
Veg,Protein,pf_ns,CED (MJ),0.0521541106265949,0.0479805818316928,0.0561422286479234,19.036250378707138,17.51291236856787,20.49191345649204
Vegan,Protein,pf_ns,CED (MJ),0.0740598422596825,0.0702171943669342,0.0779713459944796,27.031842424784113,25.629275943930985,28.45954128798505
