fcidcode,fcid_desc,waste_coef,ined_coef,retloss_coef,Foodgroup,Proxy,Notes
103366000,Sweet potato,1.5714285,1,0.16523544,veg_ro,,
603098000,"Chickpea, seed",0.11111111,0,0.063829787,leg_tot,,
802234000,Okra,0.30303031,0.21212122,0.34080687,veg_oth,,
402117000,Collards,1.9999999,2.2631578,0.59915179,veg_dg,,
902088000,"Chayote, fruit",0.43103451,0.29310346,0.14246172,fruit_exc_juice,"Squash, winter","Zach's dataset did not have a proxy for this FCID, so we assigned one"
2201022000,"Bamboo, shoots",0.51428574,1.3428572,0.10388668,veg_oth,Asparagus,"Zach's dataset did not have a proxy for this FCID, so we assigned one"
601257000,"Pea, edible podded, succulent",0.31578946,0,0.063829772,leg_tot,,
401205000,"Lettuce, leaf",0.43373758,0.37350225,0.1615885,veg_oth,,
9500054000,Belgium endive,0.38709676,0.22580644,0.91143101,veg_oth,,
200101000,"Chicory, tops",1.1875,0.9375,0.69411546,veg_oth,,
401313000,Radicchio,0.4285714,0.35714287,0.16381334,veg_oth,,
401150000,Endive,0.38709676,0.22580644,0.91143095,veg_dg,,
1001369000,Tangerine,2.3636363,1.1818181,0.25628138,fruit_exc_juice,,
101314000,"Radish, roots",1.0930232,0.23255813,0.26616445,veg_oth,,
101067000,"Potato, tuber, w/peel",0.21621622,0.13513514,0.069509506,veg_sta,,
1500328000,"Rye, grain",0.25000003,0,0.13636361,gr_whole,,
801376001,"Tomato, paste-babyfood",0.3888889,0,0.063829772,babyfood,,
103297001,"Potato, dry (granules/ flakes)-babyfood",0.041666664,0,0.063829787,babyfood,,
602255001,"Pea, succulent-babyfood",0.31578946,0,0.063829757,babyfood,,
101078001,Carrot-babyfood,0.61818177,0.19999999,0.054182734,babyfood,,
2202085001,Celery-babyfood,0.77999997,0.22,0.053774338,babyfood,,
1500326001,"Rice, bran-babyfood",0.49253732,0,0.13636364,babyfood,,
603256001,"Pea, dry-babyfood",0.11111112,0,0.063829824,babyfood,,
7000145001,"Egg, whole-babyfood",0.35384616,0.18461537,0.0989011,babyfood,,
601043001,"Bean, snap, succulent-babyfood",0.375,0.18750001,0.22793287,babyfood,,
1500127001,"Corn, sweet-babyfood",8,16,0.006153056,babyfood,,
1500323001,"Rice, white-babyfood",0.49253732,0,0.13636367,babyfood,,
1500324001,"Rice, brown-babyfood",0.49253735,0,0.13636361,babyfood,,
1901184001,"Herbs, other-babyfood",1.1874999,0.9375,0.69411546,babyfood,,
801377001,"Tomato, puree-babyfood",0.38888887,0,0.063829742,babyfood,,
101251001,Parsnip-babyfood,1.0930233,0.23255813,0.26616448,babyfood,,
103297000,"Potato, dry (granules/ flakes)",0.041666668,0,0.063829757,veg_sta,,
1500025000,"Barley, pearled barley",0.21212122,0.30303031,0.13636366,gr_whole,,
1500405000,Wild rice,0.49253735,0,0.13636361,gr_whole,,
1203285000,Plum,0.4029851,0.089552239,0.20943192,fruit_exc_juice,,
302198000,Leek,0.91489369,0.21276596,0.10811649,veg_oth,,
1202012000,Apricot,0.12048193,0.084337346,0.54083198,fruit_exc_juice,,
1100011000,"Apple, sauce",0.086956523,0,0.063829824,fruit_exc_juice,,
1500324000,"Rice, brown",0.49253732,0,0.13636363,gr_whole,,
1307130000,Cranberry,0.3611111,0.027777776,0.063829802,fruit_exc_juice,,
1001242000,"Orange, peel",0.97297305,0.72972977,0.13122174,fruit_exc_juice,,
101388000,"Turnip, roots",1.0930232,0.23255815,0.26616442,veg_oth,,
