subgroup,food,cost_mean,cost_se,ghg_impact_mean,ghg_impact_se,ced_impact_mean,ced_impact_se,intake_mean,intake_se,ghg_impact_per_fpe,ced_impact_per_fpe,cost_impact_per_fpe,race,Race_label,age,Age_label,sex,Sex_label
42,pf_poultry,3.5543814268709863,0.6922513174625358,0.3608133769382491,0.041056400565702575,2.5214153228510385,0.28758891717365187,2.162094139121431,0.29608569199738793,0.16688143703347993,1.166191275961563,1.643953129772283,2,NHB,6,75+,1,Female
42,pf_redm,2.2049542602699996,0.46864232233321973,1.363128453473564,0.17584336484031976,3.4001577956524622,0.37220129678067876,1.1421033734586052,0.16961422410079469,1.193524583808586,2.9771016132767762,1.9306083070158417,2,NHB,6,75+,1,Female
42,sat_fat,0.024883013746113642,0.007155633220676024,0.5201433702616096,0.054261018005889054,1.9073295530848944,0.16632938516234574,25.126840016004735,1.0446534376279542,0.020700707686692806,0.07590805496711907,9.902961824990414e-4,2,NHB,6,75+,1,Female
42,ssb,0.23204382632641776,0.0401121787964565,NA,NA,NA,NA,207.7829286356683,40.19946077506454,NA,NA,0.0011167607841994043,2,NHB,6,75+,1,Female
42,veg_dg,0.14522222466237206,0.038595343152936286,0.011999422781115007,0.0034557751800699294,0.08526417175524267,0.027758495914799043,0.13100131197956758,0.04550790817541128,0.09159772982263392,0.6508650216307866,1.1085554981695338,2,NHB,6,75+,1,Female
42,veg_oth,0.4728033214940989,0.056645522502118476,0.034561985892940454,0.005915542082651505,0.23280264638458104,0.04258613320483249,0.4589747463667661,0.05349163232138843,0.07530258726984952,0.5072232148444803,1.0301292723331719,2,NHB,6,75+,1,Female
42,veg_ro,0.20186907441754265,0.05202843765643035,0.04023963191820647,0.007096665241679219,0.33053824280377225,0.06197494574991743,0.29201446499152595,0.04075129090393128,0.13780013233034258,1.1319242107180008,0.6912982013524596,2,NHB,6,75+,1,Female
42,veg_sta,0.2860498660313149,0.048128210327934524,0.0430504682240544,0.01138042145918096,0.37814935209859246,0.10234881534655711,0.518231940553009,0.07084645869617527,0.08307181563937363,0.7296913264262843,0.5519726663819081,2,NHB,6,75+,1,Female
42,added_sugar,0.11808680788707847,0.03372275424483359,0.06547577606665118,0.005520069663554164,0.6502231923320622,0.05952025122976276,15.8996404203905,1.7478579498747138,0.004118066467885761,0.04089546525204325,0.007427011225715393,2,NHB,6,75+,1,Female
42,pf_seafood,2.2842288732061093,0.6690163852210056,0.2564836149484074,0.07727122778333312,7.006106485721702,1.8984722320693452,0.6850506726409893,0.13365694230830247,0.3744009387796358,10.227136130984215,3.3343940301525588,2,NHB,6,75+,1,Female
42,leg_tot,0.29683806501609106,0.1436840357951225,0.031293348745601204,0.00527423420092687,0.18931675665990072,0.029655615198214486,0.501198813818848,0.09520245680402388,0.06243699682200723,0.3777278625570069,0.5922561203893421,2,NHB,6,75+,1,Female
42,pf_egg,0.9479327979608451,0.3434203248429837,0.19185179867530203,0.02545048727932531,1.175507659145218,0.15593933928374598,0.8199602213797141,0.14433131353391476,0.23397695848279165,1.4336154712081501,1.156071688899489,2,NHB,6,75+,1,Female
42,pf_pm,0.3513033018574412,0.07058997579186914,NA,NA,NA,NA,1.2139735527271815,0.21835926560537813,NA,NA,0.2893829944385866,2,NHB,6,75+,1,Female
42,gr_whole,0.27306079017712104,0.047680901809893914,0.023378468988373462,0.0037534311044778164,0.1511334129818796,0.021328484233481562,1.1459984019612102,0.14566078631284335,0.020400088646166173,0.13187925281853505,0.23827327307770854,2,NHB,6,75+,1,Female
