"","X","riskfactor","outcome","midage","logRR.perchange","se.perchange","logRR.perchange.exp","se.perchange.exp","event.age","origlogRR"
"114",6,"wg","CVD",87.5,-0.0432881781832703,0.0127852702505253,0.95763538067476,0.0122436271433915,61.1,-0.093212382
"115",1,"wg","DIAB",30,-0.191565599047404,0.0433108074322099,0.826438524365172,0.0357433555223322,58,-0.12855416
"116",2,"wg","DIAB",40,-0.183731521000877,0.0415396113126076,0.832875921211429,0.0345502054625848,58,-0.12855416
"117",3,"wg","DIAB",50,-0.155865123289528,0.0352393351090136,0.856205005472441,0.0301360467347247,58,-0.12855416
"118",4,"wg","DIAB",60,-0.129153686835035,0.0292001825353201,0.87921296658814,0.0256469673277736,58,-0.12855416
"119",5,"wg","DIAB",70,-0.107126248045165,0.0242200286642863,0.898675353101631,0.0217470489125032,58,-0.12855416
"120",6,"wg","DIAB",87.5,-0.0616240731291343,0.0119096874099203,0.940236280444624,0.0111979201915617,58,-0.12855416
"121",1,"wg","IHD",30,-0.0506496884518674,0.0209024925591473,0.950819062591844,0.0198701687334586,63.4,-0.034219775
"122",2,"wg","IHD",40,-0.048578368682883,0.0200476848124036,0.952773899933391,0.0190968710340855,63.4,-0.034219775
"123",3,"wg","IHD",50,-0.0412105303581827,0.0170070701419817,0.959765707741597,0.0163197241764423,63.4,-0.034219775
"124",4,"wg","IHD",60,-0.0341480622467389,0.0140924779369584,0.966524263507792,0.0136184937059155,63.4,-0.034219775
"125",5,"wg","IHD",70,-0.0283240368598874,0.0116889755456528,0.972139664777319,0.0113617180849909,63.4,-0.034219775
"126",6,"wg","IHD",87.5,-0.0163470009813802,0.00577099806734525,0.983785886151799,0.00567742644766357,63.4,-0.034219775
"127",1,"fruit","TSTK",30,0,0,0,0,0,0
"128",2,"fruit","TSTK",40,0,0,0,0,0,0
"129",3,"fruit","TSTK",50,0,0,0,0,0,0
"130",4,"fruit","TSTK",60,0,0,0,0,0,0
"131",5,"fruit","TSTK",70,0,0,0,0,0,0
"132",6,"fruit","TSTK",87.5,0,0,0,0,0,0
