,FNDDS_food_code,FNDDS_food_code_descr,food_item_cluster,rep_food,food_grp,dga_subgrp,commodity,prop_dga_subgrp,gwp_100g,od_100g,htnc_100g,htc_100g,pm_100g,irh_100g,ire_100g,pof_100g,acid_100g,teu_100g,feu_100g,meu_100g,feco_100g,lu_100g,wd_100g,md_100g,FPED,FPED_CF
42,75103000,"Cabbage, green, raw","Green Cabbage, raw and ckd (Incl. savoy cabbage; swt pot., squash, & pumpkin leaves)","Cabbage, raw",veg,other,other_o,0.024793388,0.03518225,2.25E-09,1.10E-08,1.45E-09,3.26E-05,0.0034945,1.26E-08,0.000107412,0.000243558,0.00058329,1.42E-05,0.000181864,0.3390225,0.15793125,0.000966726,1.85E-06,1.11,0.900900901
43,75105000,"Cabbage, red, raw",Red Cabbage (Incl. radicchio),"Cabbage, red, raw",veg,other,other_o,0.002754821,0.03518225,2.25E-09,1.10E-08,1.45E-09,3.26E-05,0.0034945,1.26E-08,0.000107412,0.000243558,0.00058329,1.42E-05,0.000181864,0.3390225,0.15793125,0.000966726,1.85E-06,1.11,0.900900901
44,75213110,"Cactus, cooked, fat not added in cooking",Cactus (Nopales),"Nopales, cooked, without salt",veg,other,other_o,0.002754821,0.14940324,6.65E-09,1.23E-07,8.73E-09,0.000134489,0.00960002,3.48E-08,0.000370869,0.001377721,0.003577854,6.04E-05,0.000552076,5.5457383,1.1188073,0.018186161,3.26E-06,0.67,1.492537313
52,75214011,"Cauliflower, cooked, from fresh, fat not added in cooking",Cauliflower (Incl. broccoflower),"Cauliflower, cooked, boiled, drained, without salt",veg,other,other_o,0.013774105,0.092453347,6.42E-09,5.97E-08,2.58E-09,5.71E-05,0.003894316,1.86E-08,0.000363151,0.000675971,0.002429429,1.61E-05,0.000938047,0.35038206,0.36592516,0.004559882,7.26E-06,0.8,1.25
53,75215010,"Celery, cooked, fat not added in cooking","Celery, cooked","Celery, cooked, boiled, drained, without salt",veg,other,other_o,0.033057851,0.059627808,4.05E-09,2.51E-08,2.57E-09,5.83E-05,0.00625801,2.27E-08,0.000197379,0.000438682,0.001042312,2.50E-05,0.000312435,0.74179584,0.25365456,0.001261502,4.44E-06,0.67,1.492537313
54,75109000,"Celery, raw","Celery, raw","Celery, raw",veg,other,other_o,0.024793388,0.046377184,3.15E-09,1.95E-08,2.00E-09,4.53E-05,0.004867341,1.77E-08,0.000153517,0.000341197,0.000810687,1.95E-05,0.000243005,0.57695232,0.19728688,0.000981168,3.45E-06,0.83,1.204819277
103,75503110,"Cucumber pickles, dill, reduced salt",Cucumber Pickles (Incl. relish and capers),"Pickles, cucumber, dill, low sodium",veg,other,cucumber,0.035812672,0.298364935,6.85E-09,4.75E-08,9.87E-09,0.00026344,0.005325848,2.45E-08,0.000483648,0.001677438,0.001312986,0.000100486,0.000167182,0.860204224,0.35236168,0.0017869,1.25E-06,0.65,1.538461538
104,75111000,"Cucumber, raw","Cucumber (Incl. flowers of sesbania, squash, lily, pumpkin)","Cucumber, peeled,raw",veg,other,cucumber,0.063360882,0.31390795,7.21E-09,5.00E-08,1.04E-08,0.000277164,0.005603293,2.57E-08,0.000508843,0.001764823,0.001381385,0.00010572,0.000175891,0.90501568,0.3707176,0.001879987,1.32E-06,0.83,1.204819277
107,75217010,"Eggplant, cooked, fat not added in cooking",Eggplant (Incl. hearts of palm),"Eggplant, cooked, boiled, drained, without salt",veg,other,other_o,0.013774105,0.24703308,1.10E-08,2.04E-07,1.44E-08,0.000222372,0.0158733,5.76E-08,0.000613219,0.002278014,0.005915858,9.99E-05,0.000912839,9.1696861,1.8499091,0.030070187,5.39E-06,1.05,0.952380952
120,75111500,"Garlic, raw",Garlic,"Garlic, raw",veg,other,other_o,0.013774105,0.1701126,7.57E-09,1.40E-07,9.94E-09,0.000153131,0.010930716,3.97E-08,0.000422277,0.001568692,0.004073795,6.88E-05,0.000628602,6.3144545,1.2738895,0.020707015,3.71E-06,0.74,1.351351351
134,75503090,Horseradish,Horseradish (Incl. ginger root),Horseradish,veg,other,other_o,0.002754821,0.022311963,1.45E-09,7.11E-09,9.33E-10,2.10E-05,0.002269819,8.14E-09,6.93E-05,0.000183455,0.00050606,8.99E-06,0.000118796,0.212864654,0.10350861,0.000636637,1.15E-06,0.4,2.5
